,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
7418,1997,Porsche 911 GT3,43.900,996,Coupé,108.000,360,1450
7419,1955,Morris Minor 1000,9.800,Series III,Limousine,22.000,38,760
7420,1993,BMW 520i,7.900,E34,Limousine (4-Türen),160.000,150,1650
7421,1991,Volkswagen Golf I Cabrio GLi 1,13.000,Typ 155,Cabriolet,111.519,112,0
7422,1989,Saab 900 2,19.500,,Cabriolet,89.435,160,1325
7423,1959,Porsche 356 A 1600,153.000,A,Cabriolet,79.423,60,910
7424,1971,Alfa Romeo Giulia 1600 Super Biscione,35.000,,Limousine (4-Türen),107.000,103,0
7425,1990,FIAT Tipo,2.500,Tipo 160,Limousine,188.000,70,940
7426,1953,Lancia Appia C10,16.500,Serie I,Limousine,31.000,38,900
7427,1953,FIAT 500 C Belvedere,8.500,,Kombi,50.000,16,610
7428,1990,Peugeot 205 CJ,3.200,,Cabriolet,30.000,54,820
7429,1967,Maserati Quattroporte 4200,84.800,Serie I,Limousine (4-Türen),0,260,0
7430,1968,Maserati Mistral 3700,159.800,,Coupé,0,245,0
7431,1935,Rolls-Royce 20,63.276,,Limousine,62.764,75,0
7432,1966,Mercedes-Benz 230 SL,149.000,W 113,Cabriolet,83.014,150,0
7433,1964,Lamborghini 2R,29.236,,Nutzfahrzeug (Traktor),0,39,0
7434,1980,Triumph Spitfire 1500,15.300,,Cabriolet,67.043,72,0
7435,1953,Volvo PV 444,17.300,B-E,Limousine (2-Türen),97.095,44,0
7436,1961,Jaguar E-Type 3,239.000,Serie I,Cabriolet,51.459,269,0
7437,1968,Daimler V8-250,45.114,,Limousine (4-Türen),0,140,0
7438,1900,Rolls-Royce Silver Dawn,66.792,,Limousine,0,142,0
7439,1900,Triumph TR 4,28.123,,Cabriolet,0,100,0
7440,1995,MG RV8,26.892,,Cabriolet (Roadster),0,192,0
7441,1983,Maserati Merak 2000 GT,68.000,Tipo AM 122,Coupé,102.000,170,1350
7442,1958,Mercedes-Benz 220 S,60.500,W 180,Coupé,52.304,106,0
7443,1986,Maserati Biturbo Spyder,19.990,,Cabriolet,48.226,180,1300
7444,1988,Maserati 420 Si,10.700,,Limousine (4-Türen),25.500,210,1300
7445,1987,Maserati Biturbo i,12.500,,Coupé,90.850,185,1175
7446,1983,Maserati Biturbo S,15.800,,Coupé,19.200,205,1175
7447,1974,Lancia Fulvia 1,18.500,Serie II,Coupé,44.564,90,930
7448,2006,Aston Martin V8 Vantage,57.500,,Coupé,79.775,385,0
7449,1984,Mercedes-Benz 500 SL,43.500,R 107,Cabriolet (Roadster),181.194,231,0
7450,1988,Mercedes-Benz 300 SL,70.000,R 107,Cabriolet (Roadster),44.515,180,0
7451,1998,Mitsubishi Pajero 3500 V6,Auf Anfrage,V20,Geländewagen,234.359,194,0
7452,1954,MG TF,33.950,,Cabriolet (Roadster),158.581,57,910
7453,1997,Rover Mini 1,23.950,MK VII,Limousine (2-Türen),86.757,63,0
7454,1992,BMW M5,42.950,E34,Limousine (4-Türen),113.159,340,1650
7455,1999,Volkswagen Käfer 1600,15.175,Typ 113,Limousine (2-Türen),65.983,46,0
7456,2022,Porsche Macan GTS,104.888,,Geländewagen,14.896,440,0
7457,1969,Ferrari 365 GTC,850.000,,Coupé,71.309,320,0
7458,1957,Ford Fairlane 500 Skyliner,49.990,,Cabriolet,146.112,271,0
7459,1969,Chevrolet Corvette Stingray,Auf Anfrage,C3 Serie I,Cabriolet,0,300,1400
7460,1962,Jaguar Mk II 3,52.000,,Limousine (4-Türen),4.500,224,1480
7461,1963,Lancia Flavia 1,59.900,,Cabriolet,36.700,92,0
7462,1954,Rolls-Royce Silver Dawn,66.792,,Limousine,18.409,142,0
7463,1985,Porsche 911 Carrera 3,72.500,"""G-Modell""",Cabriolet (Targa),87.649,207,0
7464,1935,Horch 830 BL,187.500,,Cabriolet,3.866,75,0
7465,1991,Alfa Romeo 2,25.100,Tipo 115 - Serie 4,Cabriolet,90.600,120,0
7466,1982,Ferrari 400i,79.900,,Coupé,0,310,0
7467,1991,Arden AJ 6 2,59.000,,Limousine (2-Türen),63.688,300,0
7468,2019,Mercedes-AMG GT-S,527.244,C 190,Coupé,3.058,522,0
7469,1978,Alfa Romeo Giulietta 1,7.700,Typ 116,Limousine,111.000,108,1100
7470,1979,Mercedes-Benz 280 CE,16.000,W 123,Coupé,150.000,185,1460
7471,1965,Autobianchi Bianchina,7.000,,Limousine,70.311,18,640
7472,1964,Porsche 356 C 1600,92.000,C,Coupé,10.100,75,930
7473,1983,Jaguar XJ 6 4,15.000,Serie III,Limousine (4-Türen),89.900,205,1860
7474,1973,Volkswagen T2b Pritsche DoKa,36.900,Typ 2,Bus (Pritsche),77.173,50,0
7475,1972,Mercedes-Benz L 408,159.000,319,Nutzfahrzeug (Kastenwagen),1.001,80,0
7476,1939,NSU-Fiat 500 A Topolino Weinsberg,55.000,,Cabriolet (Roadster),8.650,18,0
7477,2001,Volkswagen Golf IV Cabrio 2,9.333,Typ 1J,Cabriolet,77.934,115,0
7478,1973,FIAT 500 R,14.950,,Limousine (2-Türen),2.200,18,525
7479,1967,FIAT 500 F,7.000,,Limousine (2-Türen),53.200,18,520
7480,1970,FIAT 500 F,5.600,,Limousine (2-Türen),20.100,18,520
7481,1973,FIAT 500 R,7.000,,Limousine (2-Türen),88.230,18,525
7482,1966,FIAT 500 F,11.900,,Limousine (2-Türen),15.300,18,520
7483,1968,FIAT 500 L,4.100,,Limousine (2-Türen),14.259,18,520
7484,1972,FIAT 500 L,7.000,,Limousine (2-Türen),95.000,18,520
7485,1966,FIAT 500 F,11.900,,Limousine (2-Türen),15.300,18,520
7486,1968,FIAT 500 L,4.100,,Limousine (2-Türen),14.259,18,520
7487,1972,FIAT 500 L,7.000,,Limousine (2-Türen),95.000,18,520
7488,1970,Giannini 650 NP,12.300,,Kleinwagen,89.229,35,0
7489,1969,FIAT 500 L,6.500,,Limousine (2-Türen),24.740,18,520
7490,1971,FIAT 500 L,4.990,,Limousine (2-Türen),134.000,18,520
7491,1971,FIAT 500 L,6.800,,Limousine (2-Türen),0,18,520
7492,1972,FIAT 500 L,5.900,,Limousine (2-Türen),76.613,18,520
7493,1972,Giannini Fiat 590 GT,14.300,,Kleinwagen,55.000,35,0
7494,1971,FIAT 500 L,7.500,,Limousine (2-Türen),70.000,18,520
7495,1971,FIAT 500 F,5.900,,Limousine (2-Türen),0,18,520
7496,1971,FIAT 500 L,13.700,,Limousine (2-Türen),10.964,18,520
7497,2014,Land Rover Defender 110,115.000,,Geländewagen,0,122,0
7498,1974,Porsche 914,14.750,,Cabriolet (Targa),0,85,980
7499,1958,Triumph TR 3A,23.500,,Cabriolet (Roadster),0,100,900
7500,1951,Bentley Mark VI Mulliner,56.246,,Limousine (4-Türen),115.872,137,0
7501,1958,Austin-Healey 100,69.500,,Cabriolet,21.409,117,910
7502,2012,Toyota FJ Cruiser,32.751,,Geländewagen,86.100,242,0
7503,1983,Renault R 5 Alpine Turbo,21.900,5 1st generation,Kleinwagen (3-Türen),69.072,108,870
7504,1998,Renault Kangoo 1,2.750,,Van,102.750,65,1080
7505,1990,Renault R 4,4.500,,Limousine (5-Türen),106.000,34,700
7506,1988,Mercedes-Benz 500 SEL,14.900,W 126,Limousine (4-Türen),353.653,252,0
