Unnamed: 0,baujahr,name,preis,baureihe,karosserieform,kilometerstand,leistung,gewicht
2741,1976,Buick Skylark Coupe,16.900,,Coupé,0.0,112,1651
2742,1956,Mercedes-Benz 190 SL,109.900,W 121 B II,Cabriolet (Roadster),53.012,105,1200
2743,1971,Ford 20m 2000S,18.900,P7b,Limousine (4-Türen),65.471,90,1250
2744,1968,Ferves Ranger,25.900,,Geländewagen (Cabriolet),0.0,18,520
2746,2012,Subaru Impreza WRX STi,29.000,,Limousine (4-Türen),180.0,300,1524
2747,1962,Saab 95,18.900,,Kombi,89.17,38,950
2750,1967,Sunbeam Alpine Mk V,23.900,,Cabriolet,23.988,93,1320
2751,1957,Piaggio Vespa 400,21.900,,Kleinwagen (Cabriolet),0.0,20,375
2752,1997,Mercedes-Benz SLK 200 Kompressor,14.000,R 170,Cabriolet (Roadster),145.0,192,1300
2753,2000,Mercedes-Benz CLK 55 AMG,29.900,C 208,Coupé,120.0,347,1700
2754,1987,Mercedes-Benz 190 E,9.900,W 201,Limousine,98.0,122,1250
2755,1935,Lancia Augusta,28.900,,Limousine (2-Türen),1.0,35,850
2756,2020,Jaguar F-Type P300,48.900,,Coupé,68.0,300,1525
2757,1986,FIAT Panda 4x4 1,7.900,,Kleinwagen,110.0,50,750
2759,1979,FIAT Spider 2000,28.000,3a serie (CS),Cabriolet (Roadster),2.85,103,1039
2760,1973,FIAT 126,5.500,,Limousine (2-Türen),41.6,24,600
2761,1968,FIAT Gamine Vignale,28.900,,Cabriolet (Roadster),10.0,22,450
2762,1995,Jaguar XJS 6,31.900,Series III,Cabriolet,98.0,302,1860
2763,1955,BMW Isetta 250,29.900,Typ 101,Kleinwagen,35.0,12,350
2764,1981,Bentley Mulsanne LWB,16.900,,Limousine,157.715,260,2240
2765,1987,BMW 320i,24.900,E30,Cabriolet,98.0,129,1300
2766,1987,Chevrolet Corvette Convertible,20.900,C4,Cabriolet,101.0,248,1483
2768,1964,Alfa Romeo Giulia Sprint Speciale,84.990,Tipo 101.21,Coupé,105.0,112,1050
2769,1981,Citroën 2 CV 6 Charleston,14.000,,Limousine (4-Türen),71.0,29,600
2772,1957,Borgward Isabella Coupe,29.900,,Coupé,0.0,75,1040
2775,2009,Land Rover Defender 90,45.000,,Geländewagen,19.4,122,1715
2781,1958,Bentley S 1,24.607,,Limousine (4-Türen),41.441,180,1970
2785,1968,Austin Mini Cooper S 1275,42.000,Mk II,Limousine (2-Türen),15.2,76,700
2788,1966,Triumph TR 4A IRS,33.500,,Cabriolet,10.0,104,1000
2813,1923,Packard Single Six,41.012,,Cabriolet (Tourer),0.0,54,1750
2817,1961,Lancia Flaminia GT Touring,72.000,,Coupé,0.0,119,1520
2821,2001,Ferrari 360 Modena,93.743,,Coupé,43.13,400,1365
2824,1971,FIAT Dino 2400 Coupe,67.000,,Coupé,17.0,180,1340
2834,1974,Citroën DS 20 Pallas,35.000,DY,Limousine (4-Türen),0.0,103,1150
2840,1991,Renault R 25 V6 Turbo,17.900,,Limousine (5-Türen),196.0,205,1280
2841,1999,Peugeot 406 ,17.500,Phase I,Coupé,64.5,190,1300
2843,1967,Jaguar Mk II 3,32.900,,Limousine (4-Türen),84.6,210,1440
2844,1958,Austin-Healey 100,64.500,,Cabriolet,32.0,117,910
2845,2008,Aston Martin DB 9,54.900,,Coupé,76.5,456,1785
2848,1958,Jaguar XK 150 FHC,98.000,150,Coupé,28.0,193,1320
2850,1963,Mercedes-Benz 220 SE b,109.990,W 111,Cabriolet,76.0,120,1450
2851,1992,Porsche 911 Carrera 4,73.900,964,Coupé,246.0,250,1400
2854,1988,BMW 325i,24.900,E30,Cabriolet,187.0,170,1300
2857,1957,BMW Isetta 250,28.800,Typ 101,Kleinwagen,37.626,12,350
2858,1967,Austin-Healey 3000 Mk III,65.500,ADO 26,Cabriolet (Roadster),40.744,148,1100
2859,1973,Triumph TR 6,25.600,,Cabriolet (Roadster),36.291,106,1030
2860,1988,Lancia Delta HF Integrale,89.200,831,Limousine (4-Türen),129.63,185,1200
2861,1969,Jensen Interceptor MK I,69.800,MK I,Coupé,98.17,335,1820
